Id	StctNo	TakenDate	InitType	HSISType	ChildType	ParentType	StctAdjoin	Location	StairIndp	Council1	Council2	ExitCnt	FacilityProvision	Status	InRegion	InvgORPorUAP	InvgStatusORPorUAP	InvgRemarksORPorUAP	InvgAgreeNo	DCInAgreeNo	ConnectAdjoin	BSNote1	BSNote2	BSNote3	BSInChecked	FollowupRegion	WidthNotAcpt	ToNonBFAPath	WideEnough	Gradlt10	WithSteps	StepsForBFA	AlterMeans	AlterDetail	AlterDist	Remarks	AtMainForBFA	ExitAToBuild	AtExitForA	ReasonAwNoBFA	DescAwBFA	AlterMeansAwBFA	AlterDetailAwBFA	AlterDistA	RemarksA	ExitAwBFA	ExitBToBuild	AtExitForB	ReasonBwNoBFA	DescBwBFA	AlterMeansBwBFA	AlterDetailBwBFA	AlterDistB	RemarksB	ExitBwBFA	ExitCToBuild	AtExitForC	ReasonCwNoBFA	DescCwBFA	AlterMeansCwBFA	AlterDetailCwBFA	AlterDistC	RemarksC	ExitCwBFA	ExitDToBuild	AtExitForD	ReasonDwNoBFA	DescDwBFA	AlterMeansDwBFA	AlterDetailDwBFA	AlterDistD	RemarksD	ExitDwBFA	ExitEToBuild	AtExitForE	ReasonEwNoBFA	DescEwBFA	AlterMeansEwBFA	AlterDetailEwBFA	AlterDistE	RemarksE	ExitEwBFA	ExitFToBuild	AtExitForF	ReasonFwNoBFA	DescFwBFA	AlterMeansFwBFA	AlterDetailFwBFA	AlterDistF	RemarksF	ExitFwBFA	ExitGToBuild	AtExitForG	ReasonGwNoBFA	DescGwBFA	AlterMeansGwBFA	AlterDetailGwBFA	AlterDistG	RemarksG	ExitGwBFA	ExitHToBuild	AtExitForH	ReasonHwNoBFA	DescHwBFA	AlterMeansHwBFA	AlterDetailHwBFA	AlterDistH	RemarksH	ExitHwBFA	ExitJToBuild	AtExitForJ	ReasonJwNoBFA	DescJwBFA	AlterMeansJwBFA	AlterDetailJwBFA	AlterDistJ	RemarksJ	ExitJwBFA	ExitKToBuild	AtExitForK	ReasonKwNoBFA	DescKwBFA	AlterMeansKwBFA	AlterDetailKwBFA	AlterDistK	RemarksK	ExitKwBFA	DraftedBy	DraftedByPost	DraftedAt	EndorsedBy	EndorsedByPost	EndorsedAt	AuditedBy	AuditedByPost	AuditedAt
1	H10	1969-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Repulse Bay Road across Beach Road	No	Southern	NULL	2	No	Endorsed	Urban	Yes	Others (see remarks)	NULL	CE55/2017(HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-05-18 00:00:00.000	Sau Lai LAM	NULL	2018-05-21 00:00:00.000	NULL	NULL	NULL
2	H100	1978-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Hill Road approach to Hill View Garden	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-21 00:00:00.000	Ka Hung NG	NULL	2017-04-21 00:00:00.000	NULL	NULL	NULL
3	H102B	1979-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Albany Road Flyover - Robinson Road across Albany Road	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	Exit A actually located at H102A.	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Staircase	NULL	No	NULL	NULL	NULL	No	No	No	Staircase	NULL	No	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	NULL	2017-05-16 00:00:00.000	Ka Hung NG	NULL	2017-05-17 00:00:00.000	NULL	NULL	NULL
4	H105	1973-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	May Road between Brewin Path and Tregunter Path	No	Central & Western	NULL	3	No	Endorsed	Urban	Yes	Others (see remarks)	NULL	CE55/2017(HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Others (please specify in Remarks)	NULL	NULL	NULL	Leading to no destination BFA not applicable	Yes	No	No	Exit C is a staircase	NULL	No	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-08-08 00:00:00.000	Sau Lai LAM	NULL	2018-08-09 00:00:00.000	NULL	NULL	NULL
5	H106	1979-01-01 00:00:00.000	Parent	Culvert	NULL	NULL	NULL	May Road near house no.9	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-21 00:00:00.000	Ka Hung NG	NULL	2017-04-21 00:00:00.000	NULL	NULL	NULL
6	H107	1980-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Ap Lei Chau Bridge from Aberdeen to Ap Lei Chau	No	Southern	NULL	4	No	Endorsed	Urban	Yes	Retrofitting works not feasible	Space available on site not adequate for construction of BFA.  See LegCo paper CB(4)182/17-18(03).	CE 48/2010 (HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	Yes	None	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-05-18 00:00:00.000	Sau Lai LAM	NULL	2018-05-21 00:00:00.000	NULL	NULL	NULL
7	H108	1979-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Robinson Road near Glenealy	No	Central & Western	NULL	2	No	Endorsed	Urban	Yes	Retrofitting works not feasible	NULL	CE 48/2010 (HY) ; CE55/2017(HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	Yes	None	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	Alternative BFA route extra distance over 200m	No	No	No	Staircase only	NULL	No	NULL	NULL	Alternative BFA route extra distance over 200m	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-29 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
8	H112	1978-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Chi Fu Road across Pok Fu Lam Road	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-10-06 00:00:00.000	Wing Hong CHI	NULL	2016-10-14 00:00:00.000	NULL	NULL	NULL
9	H113	1982-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Chi Fu Road near bus terminus	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-29 00:00:00.000	Wing Hong CHI	NULL	2016-12-30 00:00:00.000	NULL	NULL	NULL
10	H115	1981-01-01 00:00:00.000	Parent	Bridge	H115A	NULL	NULL	Wong Chuk Hang Road to Toll Gate of Aberdeen Tunnel	No	Southern	NULL	3	No	Endorsed	Urban	Yes	Retrofitting works completed	Reported as completed in LC Paper No. CB(4)139/20-21(04)	CE 48/2010 (HY)	NULL	NULL	Refer to Minutes of the 17 th Meeting of SDC T&TC held on 22 Sep 2014 for the reason of not retrofitting lift at Exit C.	NULL	NULL	NULL	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	No	Staircase only	NULL	Yes	Alternative BFA route (extra distance less than 200m)	300-130 = 170m	via lift at H115A and the signalised crossing at H116 and at-grade crossing across Wong Chuk Hang Road.	Yes (with alternative BFA means)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Wing Nam NG	MIOW/STR(HS)	2021-05-04 00:00:00.000	Ka Wai SIN	NULL	2021-05-04 00:00:00.000	NULL	NULL	NULL
